0,1,2,3,4,5
https://www.seriouseats.com/recipes/2012/02/rich-and-creamy-tonkotsu-ramen-broth-from-scratch-recipe.html,Rich and Creamy Tonkotsu Ramen Broth Recipe,seriouseats,3,pounds,pig trotters split lengthwise or cut crosswise into 1-inch disks 
https://www.seriouseats.com/recipes/2012/02/rich-and-creamy-tonkotsu-ramen-broth-from-scratch-recipe.html,Rich and Creamy Tonkotsu Ramen Broth Recipe,seriouseats,2,pounds,chicken backs and carcasses skin and excess fat removed
https://www.seriouseats.com/recipes/2012/02/rich-and-creamy-tonkotsu-ramen-broth-from-scratch-recipe.html,Rich and Creamy Tonkotsu Ramen Broth Recipe,seriouseats,2,tablespoons,vegetable oil
https://www.seriouseats.com/recipes/2012/02/rich-and-creamy-tonkotsu-ramen-broth-from-scratch-recipe.html,Rich and Creamy Tonkotsu Ramen Broth Recipe,seriouseats,1,,large onion skin on roughly chopped
https://www.seriouseats.com/recipes/2012/02/rich-and-creamy-tonkotsu-ramen-broth-from-scratch-recipe.html,Rich and Creamy Tonkotsu Ramen Broth Recipe,seriouseats,12,,garlic cloves
https://www.seriouseats.com/recipes/2012/02/rich-and-creamy-tonkotsu-ramen-broth-from-scratch-recipe.html,Rich and Creamy Tonkotsu Ramen Broth Recipe,seriouseats,,,one 3-inch knob ginger roughly chopped
https://www.seriouseats.com/recipes/2012/02/rich-and-creamy-tonkotsu-ramen-broth-from-scratch-recipe.html,Rich and Creamy Tonkotsu Ramen Broth Recipe,seriouseats,2,,whole leeks washed and roughly chopped
https://www.seriouseats.com/recipes/2012/02/rich-and-creamy-tonkotsu-ramen-broth-from-scratch-recipe.html,Rich and Creamy Tonkotsu Ramen Broth Recipe,seriouseats,2,,dozen scallions white parts only 
https://www.seriouseats.com/recipes/2012/02/rich-and-creamy-tonkotsu-ramen-broth-from-scratch-recipe.html,Rich and Creamy Tonkotsu Ramen Broth Recipe,seriouseats,6,ounces,whole mushrooms or mushroom scraps
https://www.seriouseats.com/recipes/2012/02/rich-and-creamy-tonkotsu-ramen-broth-from-scratch-recipe.html,Rich and Creamy Tonkotsu Ramen Broth Recipe,seriouseats,1,pound,slab pork fat back
